Question_darija_processesd,Answer_darija_processesd,Category
ماحسيتش بالوجع لي كايضرني طول الليل,نصحك تدير اشعة الراديو للمخ وترسم مخ فالكمبيوتر وتواصل معانا باش تاخد استشارة خاصة. غادي نعطيوك نتائج التحاليل ونتقيمو حالتك ونوصيوك بالعلاج المناسب ونراقبو حالتك حتى تفيق من المرض إن شاء الله.,Neurology
ولدي عندو ورم فالدماغ، راه عندو جوج عمليات، وراه كاين ورم فوق الاذن ديال ليصر، وهاد الشي تأثر على كيفاش كيحرك يدو ورجلو.,دير رينين كل 3 شهور معا ميرس,Neurology
السلام عليكم. عندي وجع قاتل فالمقلة ديالي وصداع قاتل فاليمين. هاد الشي كايخليني ما نقدرش ننعس مزيان. بغيت غير شي طبيب باش يعالجني.,كنصحك تشوف شي طبيب نفسي وطبيب أذن ولسان وديال الراديو باش يشوفك ويمشي ليك شي حاجة راه ممكن يكون عندك التهاب الجيوب الجبهي.,Neurology
أنا عندي 27 عام وكنت كنشكي من الغليان والوجع والآلام اللي كايدوزو على صباعي يمينين بزاف، حتى أنني ماكنقدرش ندير والو بسباب هاد الألم.,واش كاتحسّ براسك كاتضرّك ضهرك?,Neurology
كنحس بألم كبير فصبّاط يميني، كايخليني نشكّش وكنحس بيه ملي كانجلس شي وقت طويل، وكنوقف، خاصة فالكعب، حتى لدرجة أنني ماكانقدرش نتمشى معاه، خاصة ملي كانفيق من النعاس، وانا عندي 50 عام...,قلب شي طبيب ديال السنان، يمكن يكون عندو مرض الضمور.,Neurology
عمر 28 عام، مابقيتش كنشكي من حتى شي مرض، الحمد لله، ولا العائلة سوى فقر الدم عند الماما. من سيماناين هادي بديت كانحس بنوبات ديال الصداع اللي كيجيوني من داخل معصمي اليسار و كانو كيبقاو مدة طويلة.,خاصك تمشي عند الطبيب ديال السنان باش يشوف المعصم ديالك مزيان.,Neurology
واش ممكن ترد عليا؟ هادي مدة قصيرة وانا بديت كانحس بالجسم ديالي ثقيل ومرتبق، بحال إلا كانو شي مخدرات. ماكانحسش براسي مزيان، والراس ديالي كانحس بيه مخدر وكنحس بحال إلا كانو شي حوايج كيدخلو ليا.,كانقتارحك تشوف شي طبيب مختص فالداخل باش يتكلف بالفحص والنصيحة ديالك ويضمن السلامة ديالك.,Neurology
كيفاش كايعالجو لعافيا ديال شوفا و لعيبا ديال نبضا و لباربا ديال لقاويا و لقالاق و لتوتر بلا دوا و بلا طبيب! شوفو لضروف لواخرا ديال لفيرس!,"الريلاكساسيون تقدر تعاون بزاف
فاليوتوب كاينين بزاف د لڤيديوهات زوينين
و ل أنتي-ستريس تاهو",Neurology
شظية لراسّي خلاتني نحس بشي إلتيهاب ف الجهة ليمرية ديال جسدّي. من بعد ما حيدتها، بقيت كانحرك رجلي ويدي بشوية، و ملي كانمشي كانرمي رجلي للقدام. بغيت شي دوا باش نحل هاد لمشكل. راه كانحس براسي مقلق من هاد السفر.,مهم نتبعو العلاج الطبيعي ونتبعو تاني طبيب العقل باش يشوفنا كيفاش داير,Neurology
السلام عليكم، هادا تقرير طبي. بغيت نعلمك بلي عندي فرط التوتر. واش ممكن تشوف حالتي؟,التقرير رجع بلي الراجل كايضربها النوبات الصرعييّا,Neurology
ولدي خرج من الدار عامر بيه الغاز و جاه دوخة و غيبان عليه و هو وقف العلاج من ربع شهور هادي,ممكن يتبدل الكمية اللي كيتعطى، والجرعة ما كتوقفش حتى يتوقف النوبات لمدة عام على الأقل، كيقول الطبيب.,Neurology
تولدت بنتي فالسيمانة 23 و3 أيام ودارت ليها نزيف فالدماغ، وهادشي خلاها استسقات الدماغ. دابا بنتي عندها 43 سيمانة وكتوزن 4.360 كيلو و عندها 39 سنتيمتر ديال المحيط ديال راسها...,غادي ينقص ليك الدماغ أُ لعامال غادي تكون ساهلا,Neurology
كانحسّ بشي حرّار ف صبعي,نوصيوك تدير تحليل السكر فالدم و الأشعة السينية للفقرات العجزية، و دير تصوير عصب فالكيبورد باش تشوف الأعصاب ديال رجليك. من بعد غادي نعطيوك النتائج ديال الاستشارات ديالك و نوصيوك بالعلاج المناسب.,Neurology
الم شديد بزاف، كأنه كاين شي اعصاب ولا استعمال زايد. كايبان بحال إلا كايعاني من مشاكل فالحركة ولا كايفكر بزاف.,مرحبا. هادشي كايتسمى عرق النسا. كاين بزاف دالأسباب ليه، أهمها الديسك ولا التهاب مفصل الورك. كنقترح عليك تدير رانين مغناطيسي للور.,Neurology
السلام عليكم. أنا كايعاني من مرض الصرع العصبي فاليد. ما عرفتش شنو ندير معاه. كولشي لي كان عندي ماخدامش. عافاك وريني شي دوا ولا شي نصيحة باش يتعافا. شكرا.,خاصك تهضر معا شي طبيب نفسي على لماشاكيل ليكايعييونا,Neurology
كنت كنحس براسي كنشرب الكهربا من يديا اليمنى هادي ربع سوايع، كان غير مشكل خفيف، ولكن دابا كنشوف راسي كنبغي نغوت وكنحس براسي كنهضر بشوية,مرحبا. كانضن بلي غير إحساس... غادي نختفي إن شاء الله.,Neurology
شنو اللي كيسبب ليا هاد الوجع اللي كاين فالجسم ديالي؟ حيت كانحس بيه ملي كنكون متوتر ولا سخون ولا كنبغي شي وحدة؟,ممكن يكون هادشي عادي فوقت التوتر، ولكن حسن تدير شي تحاليل دالدم بحال نسبة السكر والغدد الدرقية.,Neurology
عندي آلام فالجسم كامل، كا نحس بالوجع فاليدين والرجلين، وكنحس بنبض متقطع، وكنحس بالدوخة لمدة قصيرة، وكنعاني من الصداع هادي شهر ونص. عافاك عطيني شي فكرة.,عافاك صيفط لي العمر، الجنس، و التفاصيل ديال العراض ديالك.,Neurology
عندي إلتيهاب مزال ربع سنين هادي و كاين أغاني ديال تشوش الرؤية و التشوش,كنصحك تشوف شي طبيب نفسي و دير شي فحوصات، يمكن تحتاج تخطيط اعصاب و راديو مغناطيسي للدماغ، حيت يمكن يكون عندك أعراض ديال الصداع النصفي.,Neurology
مراتي مريضة بمرض باركينسون و كتختنق بزاف و صعيب عليها تنفس و كتختنق بزاف و ديما و صعيب عليها تبلع و كتحس بلي تأزمات رئتها و مجرورها.,خاصك تشوف شي طبيب ديال راس و عضلات باش يدير ليك الفحص,Neurology
كاين واحد الحالة فيها التهاب ووعي، وخاصو يتعالجو ب جوبيزون 20 مرة,كايقتارح يدير راديو الأشعة السينية للراس باش يعاوننا نعرفو الحالة ديالك و يوصي بالدوا,Neurology
السلام عليكم. عندي وجع في اليد اليمنى، و بعض التعب و أحيانا تنميل، خاصة فالمكان اللي كيدوز منو الـ Ulnar Nerve. واش ممكن يكون Carpel Tunnel؟,ممكن تكون ضغطتي على لعصب الزاندي ف لمرفق,Neurology
كانحس بشي اهتزاز غريب فالصرفور ديالي، بحال إلا كايتصوني التلفون ملي كايتحرك. شنو خاص ندير باش نعرف علاش هاد الشي كايتكرر؟,كايقتارح يدير راديو الأشعة السينية للفقرات العجزية القطنية و يرسم عصب ف الطرفين السفليين و غادي يعطينا النتائج باش يقيم حالتك و يوصي بالدوا,Neurology
كتستمر لعدة ساعات، ولا يقدر يوصل لأسبوع ولا يوم، وكتختلف شدة الصداع بين خفيف ومتوسط لشد عالي، كايتحسس بزاف ما كايتقدرش يتحمل.,كانقتارح عليك تشوف شي طبيب مختص فالمعدة باش يدير ليك الكشف والتشخيص والعلاج,Neurology
كايضرني الصرع و كان كايعالجني هادي شهر، ولكن هاد النهار جاتني جوج د الصوجات,مهم تشوف شي طبيب ديال الأعصاب باش تعرف واش الجرعة ديال الدوا مزيانة ولا لا، و تاخد راديو ديال الدماغ و تخطيط ديال الدماغ.,Neurology
شنو هووّا لعلاج ديال سيلان ديال نيفو (نيفو)؟,الجراحة هي أحسن طريقة باش تحيد التليف من الوتر. الحل الآخر اللي كاين هو مؤقت، كيتم إدخال الما فالمكان ديال التليف من طرف طبيب العظام.,Neurology
المضغ ديال منصف الراس متكرر و كايتقال بلي ممكن يكون من التهاب اللوزة لي عندها دكتورة العلوم عندها ٢٤ عام.,نصحنا نديرو شي أشعة راديوية، بحال شي راديو ديال راس و قياس الضغط، باش نعرفو شنو هوما,Neurology
السلام عليكم ورحمة الله... كنت فحادثة وانا فعمري 14 عام وسببها ضغط نخاعي شديد اللي سبب ليا الصداع والرعشة فالرجلين لتحتين وحتى شي دوا ولا شي معالجة ما قدرات تصلح ليا هادشي...,واش ممكن تزيد توضيح على العملية الجراحية باش نقدر نجاوبك مزيان؟,Neurology
كاين صداع قوي من الجهة اليسرى ديال الراس مع تنميل فالجهة اليسرى ديال الراس وكتتحرك الشفة لجهة اليسرى ديال الفم و ملي كايتسدّ عينيك كايبان ليك الدوخة,إقدر يكون عندك شي حاجة ولكن خاصك تدير راديو سواني للراس,Neurology
هاد الشي كيبان بحال شي مرض كيضر بالجسم كامل. كيبان بلي كاين شي مشكل فالعضلات الداخلية. خاصو يمشي للطبيب باش يشوف شنو واقع ليه.,إمكان ليك دير تمارين ديال الصحيحة باش تسهل عليك هاد عضامك,Neurology
شنو تنصحني ندير لواليدا إلا كانت كتحس بألم فرجليها من صبعانها حتى لنص رجليها، واخا هي دارت غير العلاج ديال الكيميو؟,هاد لعراق ديال لعلاج كيمياوي، كاين دوا كايسرهم بحال Lyrica (پريڭابالين),Neurology
واش كاين شي علاج لمرض كيس الما داخل النخاع الشوكي من الفقرات العنقية وحتى الفقرات الصدرية؟ حيت الالام رهيبة بزاف و ما قدرتش نتحملها. و حتى جميع المسكنات ما خدامينش.,طابعان كاين شي علاج وخاصنا نراجعو شي طبيب ديال النعاس,Neurology
شنو هو التحاليل ديال مرض باركنسون اللي دقيقة؟,كيمكن ليك تشوف شي تغييرات فالصور ديال الأشعة، وخاصة فالمقطعية والرنين المغناطيسي، وكاين جهاز غير مستعمل إلا في أوروبا للتصوير النووي اللي يقدر يساعد في تشخيص المرض.,Neurology
ملي كا نركب شي طوبيس ولا طوموبيل، كا يجي عليا الصداع و كانحس بالإرهاق. شنو السبب و شنو هي الوسائل باش نتجنبو هاد الشي و نعالجوه؟,هادشي لي كايتساما الدوار ديال السفر. كانوصيك تاكل قرص ديال درامامين قبل ماتركب الطوموبيل بساعة,Neurology
واحد الراجل عندو 24 عام، كان عندو رعشة فاليد ديالو هادي سنين، ولكن هادشي بدا كيتطور، حتى واحد ما قدر يشوفو بلا ما يلاحظو.,خاصك تشوف شي طبيب نفسي. كاين بزاف دالأنواع ديال الرعشة، كاين اللي كتجي من القلق، وكاين اللي كتجي من الوراثة، وكاين اللي كتجي من المخ.,Neurology
انا ضاراني عضلاتي فطرفيا، وهادي شهرا هادي بدا كايضرني صبعي فالشمال. درت ليه راديو وراديو آخرين ولقاو ليا جوج فقرات من الرقبة ديالي مريضة.,أحسن علاج هو تثبيت الفقرات بالمنظار,Neurology
عندي صداع قاتل و درت راديو و قالو ليا كاين تسرب فالما بين الشرايين و السبب خلقي و كاين شي حاجة تجمعات فالدماغ,الله يرحم طبيب الأعصاب لي مات. الله يهدي ويهدي.,Neurology
درت عملية جراحية بالمنظار باش نحيي المرارة هادي 14 يوم، ولكن من بعد العملية بدات كتضرني رجلي اليمنى بزاف و ما حبساتش,هادشي من تأثير حقنة البنج فالظهر. كنصح باستخدام الباسط باش تمدد العضلات مع الراحة.,Neurology
فجوج سيمانات اللي فات، كنت كنستعمل هاد الطريقة باش نبقى تحت الما بزاف ديال الوقت. إذن واش هاد الشي ممكن يأثر على الدماغ، بحال موت الخلايا ديالو؟,هادشي خطير أُ كانقتاراح تخلّي عليك هاد اللوعاب ليلعبو,Neurology
عمري تلاتة ميات مرة طاحت عليا الدموع، ومن بعد حسيت بواحد النميل كامل فاليد ديالي، مشيت للصبيطار ولكن ماقدرتش نزل الدرج وماقدرتش نوقف، وبديت كنحس بشي تشنج فاليدين والفك، عطيتوني شي مسكنات باش...,خاصك تشوف شي طبيب نفسي و يمكن يكون عندك شي حالة نفسية,Neurology
فاش كبرت 19 عام، بديت كانحس بلي نسيت بزاف ديال الحوايج، حتى شي حاجة بسيطة.,ماتعانيش من قلة التركيز بسباب التوتر والقلق والضغوطات ديال الحياة. كنصحك تاخد مضادات الاكتئاب ومضادات التوتر مع منظم النعاس مع العلاج النفسي والسلوكي والمعرفي والجماعي.,Neurology
عندي رعشة فإيدي منين كايضغطو عليا شي حاجا ولا شي واحد كايصوني عليا، وحتى رجلي من لقدام كايضرني.,ماتعانيش من هادشي لي كايتسمى الرهاب الاجتماعي، كايعالجوه مضادات الاكتئاب والتوتر ومنظم النعاس مع العلاج النفسي السلوكي والمعرفي والجماعي.,Neurology
ماكاين حتى حل لهاد المشكل,الخدر فالرجلين ممكن يكون بسباب عضوي بحال التهابات الأعصاب، ولا الضغط على جذور الأعصاب، ولا اضطراب الدورة الدموية فالرجلين، ولا ممكن يكون بسباب عدوى بحال التوتر، والقلق، والانفعال الزايد، والعلاج كيعتمد على السبب.,Neurology
كانعاني من رجفة تحت الجلد لمدة طويلة فمناطق مختلفة من الجسم، واخا عندي ديسك فالصدر.,كايقتارح يدير راديو الأشعة السينية للفقرات العنقية و يرسم شي واحد فالطرف و يعطينا النتيجة باش يقيم الحالة ديالك و يوصي بالدوا,Neurology
عندي نوبات صرعية بغيب فيها عن الوعي وكتكرر كل عام جوج مرات ومن بعد كل عام مرة وحدة و كتر من عام ما كاينش شي نوبة و ما تعالجتش واش شفتي شي طبيب؟,خاصنا نعالجو الحالة النفسية ديالها ملي تكون مرتبطة بالصرع,Neurology
كايضرني راصي من جيهت ليسر بزاف و كانحس بحال إلا كاين شي ما كايدوز ف راصي و كانحس بالخمول و الثقل ديما,مرحبا. ممكن تركز على التفكير السلبي والخوف، ولكن حاول تركز على الصورة ديال الرنين. الموضوع ساهل.,Neurology
علاش ماكاينش شي واحد يجوابني؟ أنا غير بغيت نعرف علاش كايتحرقو ليا رجلي من جيهتي اليمني,مزيان تشوف شي طبيب نفسي، راه ممكن يكون نقص ففيتامين ب12. زيد على هادشي، الضغط على عصب فالطرف ديالك ممكن يكون بسباب انزلاق الغضروف.,Neurology
السلام عليكم. أنا عندي 17 عام، وهادي سنتين ورا هادشي اللي وقع ليا. جاتني التهاب فالنخاع الشوكي وخرج ليا غشاء المخ، وهادشي أدى لارتخاء الأعصاب ديالي وما بقيتش قادر نحرك ولا نشوف. بعد العلاج مازال عندي هاد المشكل.,كانقتارح تتبع مع شي طبيب نفسي,Neurology
واش يمكن لي ندير تخطيط دماغ EEG فهاد الحالة ديالي؟ واش مزيان نديرها فوقت النوبة الصرعية؟ عافاك وريني شي خبار.,ممكن يتدار فكلشي، ولكن من الأحسن يدير فوقت النوبة، إلا كان الغرض هو التشخيص.,Neurology
عندي مشكل فاش كنكون فالحر، كنقدر نبقى غير ربع سوايع ولا نص ساعة. كنحس براسي كندور، عندي وجع فالمفاصل وصداع ووجع فالبطن. شنو ممكن يكون المشكل؟,كانقتارحك تشوف شي طبيب مختص فالداخل باش يتكلف بالفحص والنصيحة ديالك ويضمن السلامة ديالك.,Neurology
واش كتحس بشي حاجة فالصدر ديالك؟ كاين شي ضغط ولا شعور بالوجع؟ واش كاين شي صوت ولا ضجيج فودنك؟ هاد الشي ممكن يكون بسباب بزاف ديال الحوايج، ولكن خاصك تشوف شي طبيب باش تعرف شنو هو السبب الحقيقي.,كانقتارح تدير راديو د الراديو ل دماغ معا تيست ديال الدم,Neurology
واش هاد جوج صباع ديال لخنصر و لبنصر بداو كايمرو شي شهوراين هادي؟,نصحك تدير راديو الأشعة السينية للراس باش تشوف واش كاين شي ديسك ولا تضيق فالعضلات لي كيدوزو للراس باش ما يضرش العصب لي كيجيهم. و تقدر تاخد شي دوا ديال النوروتيد مع شي دوا آخر سميتو بروفين.,Neurology
عندي خويا غير مصاب فاليمن و دابا راه فالسبيطار ربع ايام. لقاو عندو نزيف فالراس و كسور فالفك.,خاصو يدخل لطبيب جراح قريب، وخاصو يتعالج فوراً,Neurology
السلام عليكم. أنا عندي صداع و ضغط فالراس و ضفط فاليسار. كنشعر بعدم التوازن. درت راديو و النتيجة هي التهاب الجيوب الانفيه.,سير عند الطبيب ديال النيف باش يدير ليك شي علاج,Neurology
"كانحسّ براسّي تنملت في أطرافي, فيدي, في رجلي, و في راسّي شي مرات, أُ ملّيت كانحسّ بألم, ملي كانضغط شي حاجا, أُ ملي كايضغطوني.",كايقتارح تدير راسم ديال العصب فالصبعين مع راديو مغناطيسي فالمخ باش يعاوننا نقيمو الحالة ديالك و يوصي بداكشي لي خصك تدير.,Neurology
واش كايعطيوك شي فلوس فاش كتحط رجليك فشي بلاصة؟,نوصيوك تدير راسم ديال العصب ف لبيسي بليزير ديال دوبلر للرجلين المصابين واليدين، و اتواصل معانا باش تاخد استشارة خاصة. عافاك قول لينا النتائج ديال راسك باش نقدرو نقيمو حالتك مزيان و نوصيوك بالعلاج المناسب و نتابعو معاك حتى تفيق من المرض. الله يسهل عليك.,Neurology
ولدي عمرو ست سنين، وهادي ربع سنين، ومازال ما تعلّمو والو. أنا ما عنديش القدرة باش نتعلمو.,خاصك تاخد بعين الاعتبار الحالة بكل تفصيل و دير راس ديال الرنين المغناطيسي باش تبدا العلاج فأقرب وقت,Neurology
هاد الشي كولو بدا من شهرين وهو كيعاني من الصداع والضغط والانفصال، وهاد الشي خلاوه يوصل للإغماء والصداع فالراس، وحتى الرقبة ديالو كتوجعو. وكيحس براسو سخون بزاف. داروه ليه تصوير بالأشعة السينية و MRI وفحوصات أخرى باش يشوفو شنو السبب.,خاصك دير تخطيط للذهن ديالك و تراجع شي طبيب ديال الأعصاب,Neurology
مراتي عندها التهاب عصبية فالجسم كامل، عندها 54 عام. واش كاين شي دوا ولا علاج ولا شي حاجة تقدر تخفف الوجع؟,شكون فيه لعيب، و شحال عندها لمرا فعمار و أشمن أمراض كايدير لعيب؟,Neurology
سالام، عندي 16 العام تقريبا، و دابا قلبي كايضرب بزاف و يقدر يوقفني، شنو خصني ندير؟,هادشي عادي، راه إفراز الأدرينالين من العصبية. كنصحك دير تمارين التنفس وتقن النفس,Neurology
السلام عليكم. أنا مرا عندي 25 عام و عندي مشكل فالشكل ديال الوجه. عندي شوية ديال التشويه فالوجه، خاصة فالفم لي كيتحرك شوية لليسار، و العين و الحاجب تا هوما كيتحركو شوية لليسار. واش كاين شي عملية باش نحسن هاد المشكل؟,قلب شي طبيب تجميل فالعينين باش يشوف ليك حالتك,Neurology
السلام عليكم، عندي مرض شلل العصب الرابع فالعين و بغيت نعرف واش عندكم طبيب عيون و عندو الخبرة باش يدير العملية لي كاينحتاج ليها، شكرا,يمكن ليك تشاور مع طبيب العيون فموقع الطبيب,Neurology
خطيبي عندو كيس تحت المخ قريب من القبضة ديال الراس و هاد الكيس كاين من الولادة ديالو ولكن ولا كبير و بدات الأعراض ديالو بحال الدوار وفقدان التوازن و واش يمكن يتعالجو مع العلم؟,أه، كاينا إمكانية ديال العلاج الجراحي فاش تيبانو الأعراض ديال المرض.,Neurology
بابا جاتو جلطة دماغية فاليسار و ولا عندو شلل نصفي فاليمين. دارت ليه علاج طبيعي و ولا حسان، ولكن بابا شخص عنيد بزاف وما بغاش يمشي. دابا الحالة ديالو ولات خايبة بزاف و ولا كينزل.,هادشي بسباب أنما نتحركوش… خاصنا نتحركو لليد لي مقلوبة,Neurology
واش كيعاني شي واحد من الصداع الكهربائي؟ شنو اللي كيسبب هاد الصداع؟ واش هو مرض؟ شكرا.,كايقترح قياس ضغط الدم، وراديو الأشعة السينية، وراديو MRI، باش يعطينا نتيجة باش يقيم حالتك و يوصي بالدوا,Neurology
أم عمرها 50 عام كانت عندها نزيف فالمخ ودارو ليها عملية، ومن نهار دابا راها بخير، ولكن هادي 4 أيام وهي كتعاني من استفراغ وكتدور.,عافاك تحقق من جراح المخ والاعصاب فأقرب وقت,Neurology
أنا عندي 26 عام، متجوزين سنتين ونص. أول مرة تزوجت، كان عندي مشاكل بزاف، بزاف حتى أثرو على الصحة ديالي نفسيا وجسديا. العصبية ديالي تعبتني، وباقي عندي رعشة فالأطراف، وبعض المرات كايتأثر النطق ديالي.,سيدي، راك محتاج لطبيب نفسي ونتمنى ليك التوفيق,Neurology
السلام عليكم. واش ممكن تقول لي شنو واقع؟ هاد الشي وقع ليه هادي 24 ساعة. راه ما عاقلة والو، وكتحرك يديها ورجليها بلا ما تعرف.,كايقتارح باش تدير رام ديال MRI للمخ باش نعرفو الحالة ديال داكشي لي بغيتي تسول عليه,Neurology
عزيزي، عندك 30 عام وكتعاني من نوبة صرع صغيرة كتجي بحال شي نوبة سرحان. كياخد دوا ديال 1000 مغ وكونفيبان 100 مغ واميرتبتين 50 مغ. شنو هو نوع اللقاح اللي خاصك؟,كاين واحد الصيني لي كايتستعمل، وخاصنا نبعدو على ديك الكينيكا والفايزر والموديرنا,Neurology
مرحبا. ملي فقت من النعاس، لقيت فخدي على ليصر شي إحساس غريب. بحال إلا كان شي حاجة فمي. و فخدي ليمين قلّت. ماعرفتش شنو هادشي.,كايقتارح تدير شي لوحة لعصب السابع والخامس و غادي يعطيونا النتائج ديال تقييم الحالة ديالك و يوصي بالدوا,Neurology
درت عملية استئصال ورم حميد فالراس قبل عام وتضررتي العصب 6و7و8. ما زال ما تحسنش بزاف، الطبيب قرر يدير ليك عملية باش يعلق جفني وشي عملية أخرى باش يصلح الأنظمة ديال الرؤية. واش فهمتيني؟,حقيقة هي أنّا نادرا بزاف باش تصلح ليك العصب كامل,Neurology
السلام عليكم. عندي مرض الصرع هادي 20 عام، واخا درت الدوا، ولكن النوبات مازال كيجيو. عافاك عاونوني وشكرا.,حسب نوع النوبات وكلها من الممكن اضافة دواء جديد ولا تبديل الدواء اللي كتاكل. خاصك تشاور مع طبيب اعصاب.,Neurology
هادشي علاش لمريض كيعاني من مذكرات قصيرة المدى، راه كايخسّرو ليه خلايا دماغ ديالو,دوا ديال ليفيتيراسيم كايسبب النعاس، قلة التركيز، اضطرابات فالذاكرة، وميل للاكتئاب، وكيقدر يسبب ميول الانتحار عند المريض، داكشي علاش خاصك تتبع الدوا ديالك مزيان مع الطبيب ديالك وتعالجو الأعراض الجانبية.,Neurology
ولدي كيدير راسو كايضر راسو و ولا عندو شلل فالعصب السادس، الطبيب ديالو عطاه شي دوايات و قال ليه بلي غادي يولي مزيان من هنا شهرين و يرجع يخدم هاد العصب، واش هاد العصب كايقدر يتشاف و يقدر يرجع يخدم؟,إمكان نتسناو شي 6 شهور باش يرجع لخدمتو,Neurology
السلام عليكم دكتور، عافاك. أنا من حوالي خمس شهور، نص الشمال كامل كاع، كنشوف بلي راسي ناعس بزاف. الشمال ديالي كلو كيتحرق، وحتى الوعي ديالي كيتقطع. رجعت غير للمغص اللي كيوجعني بزاف.,خاصنا نديرو تحاليل ديال الدم و MRI باش نعرفو السبب العضوي,Neurology
شنو هي نسبة نجاح زرع الخلايا الجذرية للحبل الشوكي، وشنو هي أفضل مراكز كايديرو هاد العملية؟,كاين بزاف دالمدارس فشي بلدان بحال الأردن ومصر، ولكن نسبة النجاح ديالهم ما تتجاوزش 6-12%.,Neurology
كتحس بالقلق والتوتر بزاف، كيتكرر حتى فالتخيل ديال شي حاجة خايبة. كيبان عليها النعاس والنعاس صعيب عليه، وكيولي تفكير ديما ف راسو. كيتحرقو ليه الأعصاب ديالو، كيتعصب بسرعة وكيولي صابر بزاف. كيبان عليه النساان وفقدان التركيز.,خاصك تشاور شي طبيب ديال الأعصاب و تاخد شي دوا ديال الاكتئاب,Neurology
عندي العصبية هادي 3 شهور، وهاد يوماين حسيت بشي حاجة غريبة. ملي كنرفع حاجبي، كترفع غير شوية من حدا شفايفي. راني خايف,خاصك تشوف شي طبيب ديال العقل باش يعطيك العلاج بالكاربوهيدرات والفيتامينات و الدوا الطبيعي,Neurology
الم بالراس كايضرب بزاف و كايعطي صوت طنين مزعج، بحال إلا شي واحد ضربني فالراس بقوة. درت ليه بزاف د الفحوصات، ولكن مازال كايبان بحال إلا كايعاني من مشكل ف الدماغ.,خاصك تشوف شي طبيب ديال النعاس باش تاخد معلومات أكثر على الألم,Neurology
الوجع هو التهاب عصبي قاتل، والولد ديالي كيعاني من النوبات وطبيب عطاه شي دوا، جوج قرصات وواحد كينا، وظهر ليه أعراض بحال الصداع والحمى والرعشة، واش هاد الدوا خطير؟,هاد الأعراض يمكن تكون رد فعل تحسسي للمادة الفعالة فالدوا، خاصك تشوف طبيبك المعالج باش يبدل الدوا,Neurology
سلام، عندي شي أعراض كايجيو عادة من بعد لماكلا، بحال الرجفة، التعرق، البرودة ف الرجلين، وشي مرات كايكون معاهم خفقان القلب، ولكن ماشي ديما. شنو سبب هاد الأعراض؟,ننصحك تاخد قياس ضغط الدم و قياس نسبة السكر فالدم و تاخد استشارة من شي طبيب متخصص فالسرطان ولا,Neurology
واش كاين شي واحد لقاو ليه لعلاج ديال هاد لعيبات لي كايدير فالعينين؟,واش ممكن تعطينا معلومات أكثر على نوع التلف اللي كتشوف فالعين؟ واش كاين شي أعراض أخرى؟ واش كاين شي تشويه فالرؤية؟ واش كاين شي مشكل فالتصوير بالرنين المغناطيسي ولا فالتصوير بالكمبيوتر؟ وواش ممكن نتابعو مع طبيب متخصص فالموقع ديال الموقع الطبي؟,Neurology
عندي خمسة وربعين عام، عندي ضعف فالعصب الوجة من العمليات الجراحية. جرس العقل ديالي انقطع، ولساني طاح فوق فالتراب، وقلع فالفك ديالي، ونازل فالصدر ديالي، وكنحس براسي كنششعر وكنحس بالسخانة.,كانقتارح عليك تشوف شي طبيب ف الجراحة ديال الفم والوجه والفكين باش يتكلف بالنظرية ديالك ويوجهك للسلامة,Neurology
السلام عليكم. أنا أكرام من تونس. بعد ما تفضل، بغيت نوصف حالة أمي اللي كتعاني من التهاب النخاع الشوكي. هادشي خلاها ما تقدرش تهضر ولا تاكل ولا تحرك بزاف ولا تستحمل...,التهاب الحبل الشوكي كيسبب الشلل، ماشي تقصد تخليها تمشي بزاف,Neurology
تحتت مغشيا بزاف. ملي عرفت، كان وجهي طايح وكنت كانعض ففمي حتى خرج ليا الدم. الطبيب قال ليا راه مصاب بالصرع. هادي المرة التالتة فحياتي، ولكن ماشي بزاف. شنو خاصني ندير؟,ماشي شرط يكون السرعة هي لي خاصنا نتحققو منها بزاف هي حالة القلب,Neurology
هادي هي التصاور. تقرير راديو ميكروسكوبي,كاين ضغط من الشريان المخيخي الأمامي السفلي على العصب السابع والثامن المنى ويمتد للاذن الداخلية والتاسعة الأخرى كيبين غضروف بالفقرات الخامسة والسادسة ديال العنق وخاصو يتداخل الطبيب,Neurology
السلام عليكم. ف لخر، كانحس بالوزن طايح عليا، والتركيز ديالي ضعيف، وكنحس براسي ماشي مرتاح، وحتى كنحس بالوجع ف راسي بزاف.,خاصنا نعرفو تفاصيل أكثر بحال عمر داكشي لي كيدير وواش عندو شي مرض مزمن. أحسن حاجة هي يدير تحاليل الدم و يمشي عند شي طبيب ديال الأعصاب.,Neurology
السلام عليكم. عندي وجع قوي فالفخذ ليمن، كايضرني بزاف. شكرا على النصيحة.,خاصك تشوف الطبيب باش يشوف واش راه النعاس اللي كاين. يمكن يكون النعاس اللي كاين هو السبب ديال الألم. خاصنا نتأكدو من التشخيص باش نعطيو الدوا اللي غادي يهدي.,Neurology
مرحبا، نقدر ناخد Zolft للوسواس القهري مع تجريتول 800 وكيبر 250 كل 24 ساعة، حيت بلا حتى نوبة صرع هادي سنين، والحمد لله. زيادة على هادشي، نقدر ناخد...,هاد الدوا يمكن يتستعمل معا الدوا لخرين، ولكن خاصك تبع الحركات لي معاه,Neurology
